"ATC","En Route ATC"
"ATC","Ground Delay Program"
"Aircraft Related","Ammenities"
"Aircraft Related","Speed"
"Aircraft Related","Weather/SIGOPS"
"Aircraft Related","Luggage Space"
"Aircraft Related","Release Problems"
"Aircraft Related","Seating"
"Airport/FBO","De-Ice Delay"
"Airport/FBO","Customs/Security"
"Airport/FBO","No hangar space"
"Airport/FBO","No de-ice available"
"Airport/FBO","Early/Late Ops Failed"
"Airport/FBO","NOTAM"
"Airport/FBO","Slots"
"Airport/FBO","Poor Handling"
"Airport/FBO","Fuel Late"
"Company Change","Denied Vendor"
"Company Change","Change of Operating Company"
"Company Change","Sub-Contract"
"Crew","Duty"
"Crew","Out of Reach"
"Crew","DNIF/Sick"
"Crew","Travel Delayed"
"Crew","Refused Assignment"
"Crew","Fatigued"
"Crew","Late Check In"
"Crew","Missing Documents"
"Crew","Briefing Problems"
"Late Positioning","ATC"
"Late Positioning","Aircraft Related"
"Late Positioning","Airport/FBO"
"Late Positioning","Company Change"
"Late Positioning","Crew"
"Late Positioning","Other"
"Late Positioning","Planning"
"Late Positioning","Reschedule"
"Late Positioning","Weather"
"Maintenance","Vendor Ops Review"
"Maintenance","MEL (Pax Convenience)"
"Maintenance","Multiple"
"Maintenance","Servicing"
"Maintenance","MEL (Flight Limiting)"
"Maintenance","Line Extension"
"Maintenance","In Position"
"Maintenance","OCF Required (Unscheduled)"
"Maintenance","At Ferry Point"
"Maintenance","En Route"
"Maintenance","Failed OCF"
"New Booking","At Response Time"
"New Booking","Prior to Response Time"
"Other","Other Uncontrollable"
"Other","Operational Issues"
"Other","Peak Period Move"
"Other","LMAD"
"Other","Special Event"
"Passenger","Profile"
"Passenger","Previous Pax Late"
"Passenger","Misbooking"
"Passenger","Earlier ETD"
"Passenger","Missing Documents"
"Passenger","Later ETD"
"Passenger","Itinerary Change"
"Passenger","Catering"
"Passenger","This Pax Late"
"Planning","Flight Package Documents"
"Planning","Requested Travel Not Available"
"Planning","Permits"
"Planning","Tight Scheduling"
"Reschedule","Passenger"
"Reschedule","Schedule Change"
"Reschedule","Aircraft Pulled"
"Reschedule","Hot Spare"
"Reschedule","New Booking"
"Weather","En Route Weather"
"Weather","Weather - Arrival"
"Weather","Ferry Point Below Mins"
"Weather","Weather - Departure"
